datetime,year,month,day,hour,demand_mw,baseline_load_mw,demand_surge_mw,outage_period_flag,peak_demand_in_period,min_demand_in_period,avg_baseline
2021-02-16 22:00:00,2021,2,16,22,44392.859936,40941.10521463158,3451.754721368423,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 23:00:00,2021,2,16,23,43538.401874,39080.556060210525,4457.845813789478,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 00:00:00,2021,2,17,0,48263.095301,37135.69685387719,11127.39844712281,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 01:00:00,2021,2,17,1,42688.61059,35786.84865494737,6901.761935052629,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 02:00:00,2021,2,17,2,42628.665113,35100.17627763158,7528.488835368422,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 03:00:00,2021,2,17,3,43020.754775,34877.255225140354,8143.499549859647,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 04:00:00,2021,2,17,4,43075.17737,35047.52129968421,8027.656070315788,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 05:00:00,2021,2,17,5,43135.33463,35919.61006805262,7215.724561947376,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 06:00:00,2021,2,17,6,43305.815319,38045.805104578954,5260.010214421047,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 07:00:00,2021,2,17,7,43904.871178,41270.49083533332,2634.380342666678,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 08:00:00,2021,2,17,8,44295.005848,42620.682086210516,1674.3237617894847,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 09:00:00,2021,2,17,9,44062.059497,42497.762383403504,1564.297113596498,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 10:00:00,2021,2,17,10,44634.842448,42272.31935943859,2362.5230885614146,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 11:00:00,2021,2,17,11,45318.153445,41856.66013261403,3461.4933123859737,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 12:00:00,2021,2,17,12,45313.768967,41213.29881550878,4100.470151491223,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 13:00:00,2021,2,17,13,45419.520459,40532.008043877184,4887.512415122816,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 14:00:00,2021,2,17,14,45547.137732,40049.10537268421,5498.0323593157955,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 15:00:00,2021,2,17,15,45156.444104,39598.17088292982,5558.27322107018,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 16:00:00,2021,2,17,16,44953.855277,39352.67713650876,5601.17814049124,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 17:00:00,2021,2,17,17,45340.718798,39539.544454228075,5801.174343771927,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 18:00:00,2021,2,17,18,47212.441758,40170.26836966667,7042.173388333329,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 19:00:00,2021,2,17,19,48913.838241,41752.942725350884,7160.895515649114,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 20:00:00,2021,2,17,20,49225.252258,42331.17587022807,6894.076387771929,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 21:00:00,2021,2,17,21,49445.345966,41967.49218668421,7477.853779315788,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 22:00:00,2021,2,17,22,49277.300456,40941.10521463158,8336.19524136842,1,69692.485103,33953.36042,39539.96555889257
2021-02-17 23:00:00,2021,2,17,23,48820.206198,39080.556060210525,9739.650137789475,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 00:00:00,2021,2,18,0,52016.628333,37135.69685387719,14880.93147912281,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 01:00:00,2021,2,18,1,48173.292269,35786.84865494737,12386.44361405263,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 02:00:00,2021,2,18,2,47970.867816,35100.17627763158,12870.691538368417,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 03:00:00,2021,2,18,3,47994.986984,34877.255225140354,13117.731758859649,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 04:00:00,2021,2,18,4,48187.56893,35047.52129968421,13140.047630315792,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 05:00:00,2021,2,18,5,48831.249186,35919.61006805262,12911.63911794738,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 06:00:00,2021,2,18,6,50142.192464,38045.805104578954,12096.387359421045,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 07:00:00,2021,2,18,7,51788.2787,41270.49083533332,10517.78786466668,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 08:00:00,2021,2,18,8,52968.912655,42620.682086210516,10348.230568789484,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 09:00:00,2021,2,18,9,54155.813056,42497.762383403504,11658.050672596495,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 10:00:00,2021,2,18,10,55290.194739,42272.31935943859,13017.87537956141,1,69692.485103,33953.36042,39539.96555889257
2021-02-18 11:00:00,2021,2,18,11,55723.509341,41856.66013261403,13866.849208385967,1,69692.485103,33953.36042,39539.96555889257
