year,hour,season,avg_load_mw,avg_wind_mw,avg_solar_mw,net_load_mw,season_min_net_load,evening_peak_net_load,duck_curve_depth_mw
2016,5,summer,36863.13952280084,5952.090800477898,141.3231780167264,30769.725544306217,30769.725544306217,54576.20469935867,23806.479155052453
2016,6,summer,37651.12952512077,5952.090800477898,141.3231780167264,31557.715546626147,30769.725544306217,54576.20469935867,23806.479155052453
2016,7,summer,39003.07405819345,5952.090800477898,141.3231780167264,32909.66007969883,30769.725544306217,54576.20469935867,23806.479155052453
2016,8,summer,39999.418984623626,5952.090800477898,141.3231780167264,33906.00500612901,30769.725544306217,54576.20469935867,23806.479155052453
2016,9,summer,42477.1820612631,5952.090800477898,141.3231780167264,36383.768082768474,30769.725544306217,54576.20469935867,23806.479155052453
2016,10,summer,45784.98539052763,5952.090800477898,141.32317801672642,39691.57141203301,30769.725544306217,54576.20469935867,23806.479155052453
2016,11,summer,49336.93523141127,5952.090800477898,141.32317801672642,43243.52125291664,30769.725544306217,54576.20469935867,23806.479155052453
2016,12,summer,52613.05013801202,5952.090800477898,141.3231780167264,46519.6361595174,30769.725544306217,54576.20469935867,23806.479155052453
2016,13,summer,55388.569047103774,5952.090800477898,141.3231780167264,49295.15506860914,30769.725544306217,54576.20469935867,23806.479155052453
2016,14,summer,57759.83478638557,5952.090800477898,141.3231780167264,51666.42080789094,30769.725544306217,54576.20469935867,23806.479155052453
2016,15,summer,59430.33790884229,5952.090800477898,141.32317801672642,53336.92393034767,30769.725544306217,54576.20469935867,23806.479155052453
2016,16,summer,60379.01773451156,5952.090800477898,141.3231780167264,54285.603756016935,30769.725544306217,54576.20469935867,23806.479155052453
2016,17,summer,60669.618677853294,5952.090800477898,141.3231780167264,54576.20469935867,30769.725544306217,54576.20469935867,23806.479155052453
2016,18,summer,60171.82117790338,5952.090800477898,141.32317801672642,54078.407199408764,30769.725544306217,54576.20469935867,23806.479155052453
2016,19,summer,58737.0756455923,5952.090800477898,141.3231780167264,52643.66166709768,30769.725544306217,54576.20469935867,23806.479155052453
2016,20,summer,56615.43419083974,5952.090800477898,141.3231780167264,50522.02021234512,30769.725544306217,54576.20469935867,23806.479155052453
2016,21,summer,54849.598604966355,5952.090800477898,141.32317801672642,48756.184626471724,30769.725544306217,54576.20469935867,23806.479155052453
2016,22,summer,53107.70803827451,5952.090800477898,141.32317801672642,47014.29405977988,30769.725544306217,54576.20469935867,23806.479155052453
2016,23,summer,49623.59660015404,5952.090800477898,141.32317801672642,43530.18262165942,30769.725544306217,54576.20469935867,23806.479155052453
2016,0,winter,33783.56454842789,6853.540971449758,108.56198244963541,26821.46159452849,24447.651108148897,32098.60960666876,7650.9584985198635
