datetime,year,month,day,hour,zone,load_mw
2021-02-01 21:00:00,2021,2,1,21,FWEST,3779.504676
2021-02-01 21:00:00,2021,2,1,21,SOUTH,3040.421411
2021-02-01 22:00:00,2021,2,1,22,SOUTH,2989.351254
2021-02-01 22:00:00,2021,2,1,22,NCENT,13193.216747
2021-02-01 22:00:00,2021,2,1,22,TOTAL,41860.991984
2021-02-01 22:00:00,2021,2,1,22,WEST,1158.03701
2021-02-01 22:00:00,2021,2,1,22,COAST,11668.231892
2021-02-01 22:00:00,2021,2,1,22,EAST,1764.485407
2021-02-01 22:00:00,2021,2,1,22,NORTH,807.746592
2021-02-01 22:00:00,2021,2,1,22,SCENT,6510.586057
2021-02-01 22:00:00,2021,2,1,22,FWEST,3769.337025
2021-02-01 23:00:00,2021,2,1,23,COAST,11256.152233
2021-02-01 23:00:00,2021,2,1,23,NCENT,12637.367738
2021-02-01 23:00:00,2021,2,1,23,TOTAL,40341.292149
2021-02-01 23:00:00,2021,2,1,23,EAST,1692.261157
2021-02-01 23:00:00,2021,2,1,23,NORTH,782.356147
2021-02-01 23:00:00,2021,2,1,23,SOUTH,2883.391956
2021-02-01 23:00:00,2021,2,1,23,SCENT,6214.197207
2021-02-01 23:00:00,2021,2,1,23,WEST,1126.186622
2021-02-01 23:00:00,2021,2,1,23,FWEST,3749.37909
2021-02-02 00:00:00,2021,2,2,0,NORTH,720.198643
2021-02-02 00:00:00,2021,2,2,0,EAST,1511.40379
2021-02-02 00:00:00,2021,2,2,0,SOUTH,2619.586651
2021-02-02 00:00:00,2021,2,2,0,SCENT,5555.262257
2021-02-02 00:00:00,2021,2,2,0,TOTAL,36601.606071
2021-02-02 00:00:00,2021,2,2,0,COAST,10567.039991
2021-02-02 00:00:00,2021,2,2,0,NCENT,10950.694801
2021-02-02 00:00:00,2021,2,2,0,WEST,1026.595665
2021-02-02 00:00:00,2021,2,2,0,FWEST,3650.824273
2021-02-02 01:00:00,2021,2,2,1,WEST,1075.147932
2021-02-02 01:00:00,2021,2,2,1,TOTAL,37764.353668
2021-02-02 01:00:00,2021,2,2,1,SOUTH,2658.593956
2021-02-02 01:00:00,2021,2,2,1,NCENT,11563.299083
2021-02-02 01:00:00,2021,2,2,1,EAST,1541.253263
2021-02-02 01:00:00,2021,2,2,1,COAST,10622.210819
2021-02-02 01:00:00,2021,2,2,1,NORTH,736.767987
2021-02-02 01:00:00,2021,2,2,1,FWEST,3778.490783
2021-02-02 01:00:00,2021,2,2,1,SCENT,5788.589844
2021-02-02 02:00:00,2021,2,2,2,TOTAL,37311.890936
2021-02-02 02:00:00,2021,2,2,2,EAST,1523.218755
2021-02-02 02:00:00,2021,2,2,2,SOUTH,2625.616264
2021-02-02 02:00:00,2021,2,2,2,FWEST,3759.249034
2021-02-02 02:00:00,2021,2,2,2,WEST,1074.687362
2021-02-02 02:00:00,2021,2,2,2,SCENT,5691.774053
2021-02-02 02:00:00,2021,2,2,2,COAST,10530.048362
2021-02-02 02:00:00,2021,2,2,2,NORTH,731.26422
2021-02-02 02:00:00,2021,2,2,2,NCENT,11376.032886
2021-02-02 03:00:00,2021,2,2,3,COAST,10490.924912
2021-02-02 03:00:00,2021,2,2,3,NORTH,734.47324
2021-02-02 03:00:00,2021,2,2,3,SCENT,5741.909337
2021-02-02 03:00:00,2021,2,2,3,EAST,1585.86469
2021-02-02 03:00:00,2021,2,2,3,SOUTH,2619.949213
